,PID,QUALITY digital, YEAR BUILT,MAIN AND UPPER LIVING AREA,PARCEL SIZE ACRES,"('1.5 FINISHED',)","('2 STORY',)","('BI-LEVEL (SPLIT ENTRY)',)","('RANCH',)","('SPLIT',)","('AMBOY',)","('BATTLE GROUND',)","('BRUSH PRAIRIE',)","('CAMAS',)","('LA CENTER',)","('RIDGEFIELD',)","('VANCOUVER',)","('WASHOUGAL',)","('WOODLAND',)","('YACOLT',)",ORIGINAL SALE AMOUNT
503,235825000.0,3.0,1912.0,1312.0,2.87,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370000
504,120885000.0,3.0,1942.0,960.0,0.68,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430000
518,201658005.0,3.0,1974.0,2236.0,1.06,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000
543,201845000.0,2.0,1940.0,1058.0,0.48,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365000
545,236756005.0,2.0,1968.0,1152.0,2.92,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365000
569,236821000.0,3.0,1984.0,1344.0,5.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470000
570,236972005.0,3.0,1992.0,1597.0,2.41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185000
571,236061005.0,3.0,2000.0,1882.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460000
572,236971005.0,3.0,2002.0,1344.0,2.69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412000
573,236971005.0,3.0,2002.0,1344.0,2.69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395000
604,233145000.0,2.0,1956.0,528.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,385000
609,227173005.0,3.0,1978.0,2534.0,1.3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492500
612,224148000.0,3.0,1983.0,1692.0,1.11,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458893
633,196909015.0,3.0,1991.0,2072.0,1.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,480000
656,197195000.0,3.0,1967.0,1356.0,0.91,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450000
671,195273000.0,2.0,1977.0,1440.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473000
672,195005000.0,3.0,1988.0,1384.0,1.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,440000
673,197886000.0,3.0,2012.0,1120.0,1.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000
674,204741000.0,4.0,1995.0,1462.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430000
679,117765011.0,2.0,1950.0,1497.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,309000
690,121143000.0,2.0,1935.0,1080.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,350000
691,227624000.0,2.0,1951.0,1374.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,426000
692,181233000.0,2.0,1956.0,1116.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,300000
695,227400000.0,2.0,1966.0,1206.0,1.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,325000
699,228084000.0,3.0,1968.0,1235.0,3.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,469000
722,193817000.0,2.5,1945.0,2121.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,485000
747,199625000.0,2.0,1940.0,1114.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,370000
748,196191000.0,2.0,1960.0,1294.0,1.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,440000
751,193836000.0,2.5,1958.0,1472.0,0.32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,385000
757,119597035.0,3.0,1958.0,1480.0,0.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,480000
761,119206006.0,3.0,1970.0,1256.0,0.23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,450000
778,195766000.0,2.0,1972.0,812.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,448597
779,196297000.0,3.0,1978.0,1344.0,1.69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,271712
822,143714000.0,2.0,1970.0,1785.0,0.62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,450000
851,138963000.0,3.5,1995.0,2416.0,6.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,444000
854,174826000.0,3.0,1964.0,2411.0,4.11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,400000
856,141280000.0,3.0,1989.0,1080.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,419000
858,138574000.0,3.0,1994.0,924.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,400000
859,142287000.0,3.0,1996.0,1296.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,475000
861,141791000.0,4.0,1998.0,1780.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,370000
886,137316000.0,2.0,1978.0,1912.0,2.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,386800
909,173433000.0,2.0,1925.0,1080.0,5.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,490000
912,174836000.0,2.0,1965.0,1094.0,0.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,346000
915,137297000.0,2.0,1979.0,1320.0,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,425000
948,171344000.0,3.0,1970.0,1440.0,0.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,285000
949,175034000.0,3.0,1985.0,1764.0,0.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,291970
950,139613000.0,3.0,1993.0,1620.0,2.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,305000
951,170842000.0,3.0,1993.0,1742.0,5.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,434453
952,174835000.0,4.0,1981.0,1376.0,0.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,430000
